internal idx,feature idx,unit idx top,unit idx bottom,image idx top,image idx bottom,col idx top,row idx top,col idx bottom,row idx bottom,number of outliers,ranksum,median,mean,ttest,mestimation,NUM,ROW,COL,FeatSize,NumCirc,NumTri,NumLine,CircDiam,TriSize,LineLen,RotSD,FCP,CCDunsc,WN0.1,WN0.2,WN0.3,WN0.4,WN0.5,WN0.7,WN1,WN1.5,WN2,WN3,WN4,FCPLOG,DC,DT,DL,TriArea,CircArea,LineArea,TA,CA,LA,ROT,CCD,FCPN01,FCPN03,FCPLOGN0.1,FCPLOGN0.3,Split
1037,627,890,3101,3463,1255,32,14,65,47,14,1.49034,4718.79,4949.35,1.26656,4670.05,627,19,1,28,16,0,0,9.60475,4.85675,21.6193,128.046,0.599936,2,0.022491,0.014844,0.006138,0.004726,0.004332,0.002989,0.001906,0.00138,0.001081,0.000854,0.000883,0.405199,0.0204082,0,0,18.1491,72.4539,64.8579,0,1.47865,0,0,0.0505076,0.786616,0.333052,1.30464,-0.694414,1
1038,594,956,3167,3400,1252,32,15,65,48,11,-0.885718,3826.5,4076.78,-0.843925,4101.98,594,18,1,10,5,0,0,3.76276,3.60778,5.37113,166.589,0.3045,2,0.326822,0.04512,0.031591,0.027963,0.013714,0.014294,0.0095,0.005703,0.00478,0.00345,0.003781,-0.82596,0.05,0,0,10.0148,11.1199,16.1134,0,0.555997,0,0,0.141421,0.349969,0.543688,-0.619177,0.1752,1
1039,561,1022,3233,3331,1123,32,16,65,49,19,3.09049,5028.67,6098.28,3.01297,4464.72,561,17,1,20,4,7,0,6.24195,6.95181,8.86446,11.3081,0.5099,4,0.069014,0.023829,0.012424,0.012682,0.007341,0.006998,0.005455,0.003492,0.002539,0.00205,0.002128,0.0396052,0.01,0.0175,0,37.1843,30.6006,26.5934,0.650725,0.306006,0,0.169622,0.141421,0.480413,0.117884,-0.0783861,-2.01262,1
1040,529,1088,3299,3268,1120,32,17,65,50,13,-0.382453,4050.5,4099.14,-0.59471,4032.55,529,16,1,10,0,4,0,3.53479,3.23052,3.12032,48.0233,0.2474,6,0.288027,0.027182,0.061263,0.042457,0.023019,0.018482,0.015961,0.010203,0.008721,0.006581,0.006512,-1.11253,0,0.04,0,8.02989,9.81335,9.36095,0.321196,0,0,1.4407,0.424264,0.321372,0.194999,-0.747473,-1.41785,1
1041,496,1154,3365,3199,991,32,18,65,51,13,0.263809,4310.33,4415.97,0.30365,4100.69,496,15,1,10,5,0,0,3.848,3.38477,3.61793,125.109,0.4398,2,0.214221,0.024399,0.013774,0.025348,0.0137,0.01458,0.010379,0.005248,0.00352,0.003256,0.003375,-0.241974,0.05,0,0,8.81499,11.6294,10.8538,0,0.581472,0,0,0.141421,0.389904,0.317149,-0.447714,-0.766906,1
1042,463,1220,3431,3136,988,32,19,65,52,10,-1.36465,3797.99,3849.36,-2.09031,3989.95,463,14,1,28,1,1,1,3.08846,4.07595,10.8054,55.6412,0.0673725,2,0.104748,0.054618,0.027966,0.016264,0.03086,0.010594,0.007818,0.00751,0.005987,0.004364,0.004576,-2.62777,0.00127551,0.00127551,0.00127551,12.7827,7.49159,32.4163,0.0163044,0.0095556,0.0413473,0.0709709,0.0505076,0.0525559,0.559165,-2.89189,0.237776,1
1043,430,1286,3497,3067,859,32,20,65,53,16,0.239525,4330.25,4485.65,0.392048,4268.48,430,13,1,10,0,5,0,3.39947,3.90785,3.03213,148.476,0.4104,2,0.279895,0.010929,0.050568,0.016924,0.022346,0.014558,0.010221,0.007246,0.00653,0.004849,0.005184,-0.362312,0,0.05,0,11.75,9.07636,9.0964,0.587502,0,0,5.93903,0.141421,0.412727,0.717471,-0.352702,0.93195,1
1044,397,1352,3563,3004,856,32,21,65,54,7,-2.93425,3174.57,3703.4,-1.45916,3888.5,397,12,1,10,2,0,2,3.32088,3.54979,3.90219,3.98497,0.3371,4,0.13154,0.124908,0.034894,0.018455,0.026745,0.011417,0.008116,0.007848,0.005627,0.004841,0.004724,-0.676245,0.02,0,0.02,9.69546,8.66156,11.7066,0,0.173231,0.234131,0.0398497,0.282843,0.137689,0.620617,-1.83462,0.492167,1
1045,364,1418,3629,2935,727,32,22,65,55,8,1.54997,4822.45,4916.74,1.36295,4287.57,364,11,1,28,4,0,4,8.1157,6.62579,13.7318,65.6888,0.31912,4,0.022972,0.020551,0.012822,0.007262,0.011459,0.004792,0.003513,0.002759,0.002415,0.001868,0.001766,-0.757819,0.00510204,0,0.00510204,33.7784,51.73,41.1955,0,0.263928,0.210181,0.25136,0.101015,0.409508,0.64578,-0.365999,0.60054,1
1046,331,1484,3695,2872,724,32,23,65,56,10,1.05858,4342.06,4590.2,1.03121,4143.29,331,10,1,10,1,0,3,3.26914,3.44855,4.82793,16.9192,0.3372,2,0.365298,0.008842,0.030623,0.023115,0.020253,0.011865,0.007797,0.005785,0.004615,0.003537,0.003621,-0.675797,0.01,0,0.03,9.15031,8.39378,14.4838,0,0.0839378,0.434514,0.338383,0.141421,0.297627,0.216077,-0.858623,-1.28868,1
1047,298,1550,3761,2803,595,32,24,65,57,9,-1.02502,3543.83,4065.53,-0.728215,3982.83,298,9,1,10,0,2,1,3.14495,3.85922,3.06099,108.133,0.2053,2,0.377936,0.057571,0.037222,0.039193,0.020522,0.016366,0.011923,0.00777,0.006668,0.005057,0.005967,-1.35349,0,0.02,0.01,11.4594,7.76817,9.18296,0.229189,0,0.0918296,2.16266,0.141421,0.242078,0.01,-1.14132,-4.59512,1
1048,265,1616,3827,2740,592,32,25,65,58,12,1.15188,4557.31,4679.87,1.13555,4208.78,265,8,1,10,3,0,2,3.82864,3.44405,5.79189,157.586,0.4284,2,0.324735,0.055824,0.019002,0.021944,0.009009,0.00956,0.005961,0.00444,0.003602,0.002896,0.003068,-0.288382,0.03,0,0.02,9.12645,11.5127,17.3757,0,0.345382,0.347513,1.57586,0.141421,0.547966,0.153291,0.192455,-1.70902,1
1049,232,1682,3893,2671,463,32,26,65,59,8,-0.0764365,4094.37,4171.25,-0.625285,4188.93,232,7,1,20,2,3,0,8.09294,3.74586,12.8189,138.588,0.231025,2,0.01216,0.021777,0.011874,0.011407,0.008832,0.007288,0.005516,0.003431,0.002896,0.002188,0.002203,-1.20253,0.005,0.0075,0,10.7961,51.4402,38.4568,0.0809709,0.257201,0,0.692938,0.0707107,0.166118,0.962452,-1.61339,3.24387,1
1050,199,1748,3959,2608,460,32,27,65,60,7,0.658547,4374,4272.03,-0.123722,4020.98,199,6,1,28,0,8,0,4.53392,4.93411,18.8922,34.4993,0.167041,6,0.021582,0.056726,0.027171,0.027809,0.02054,0.015576,0.010605,0.007194,0.005561,0.004466,0.004496,-1.60675,0,0.0102041,0,18.7319,16.145,56.6766,0.191142,0,0,0.30803,0.151523,0.0447428,0.330994,-3.06105,-0.703691,1
1051,166,1814,4025,2539,331,32,28,65,61,6,1.31,4580.34,4807.96,1.2217,4408.79,166,5,1,28,2,0,8,6.14247,4.17941,18.8345,107.188,0.438099,6,0.030649,0.038144,0.01584,0.008142,0.012959,0.004863,0.003657,0.003385,0.002588,0.002182,0.00194,-0.248879,0.00255102,0,0.0102041,13.4398,29.633,56.5036,0,0.0755944,0.576568,0.957033,0.151523,0.43332,0.0227445,-0.268317,-3.76042,1
1052,133,1880,4091,2476,328,32,29,65,62,8,-1.54621,3710.81,4032.92,-0.671987,4042,133,4,1,10,4,0,0,3.64922,3.71289,4.23322,158.996,0.3178,2,0.24722,0.050234,0.014858,0.025485,0.018422,0.014179,0.008931,0.005267,0.004815,0.003206,0.003424,-0.763901,0.04,0,0,10.6069,10.459,12.6997,0,0.418361,0,0,0.141421,0.263006,0.64542,-1.0304,0.598965,1
1053,100,1946,4157,2407,199,32,30,65,63,8,1.64708,4646.3,4800.73,1.5383,4218.24,100,3,1,20,6,5,0,5.48363,5.36014,5.27963,89.9128,0.405,6,0.066923,0.044699,0.013491,0.013614,0.010886,0.0084,0.005818,0.004032,0.003087,0.002456,0.002391,-0.384674,0.015,0.0125,0,22.1063,23.6171,15.8389,0.276329,0.354256,0,0.899128,0.212132,0.438466,0.01,-0.24739,-4.59512,1
1054,67,2012,4223,2344,196,32,31,65,64,13,-0.34434,4264.33,4188.42,-0.241311,4142.59,67,2,1,10,1,2,1,3.07771,3.23223,5.81795,99.3848,0.3505,2,0.342161,0.012283,0.040091,0.026128,0.01438,0.011502,0.009419,0.006465,0.005807,0.004117,0.004171,-0.616842,0.01,0.02,0.01,8.03837,7.43954,17.4539,0.160767,0.0743954,0.174539,1.9877,0.141421,0.225507,0.01,-1.23386,-4.59512,1
